銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,ネットキャッシュ,ネットキャッシュ比率
5032,ANYCOLOR,"224,840",21.3,12.5,1.80,"31,995",47.50,21.60,8.90,"12,361",38.60,"8,725",27.30,48.50,76.40,0.30,0.0,4.80,0.0,362.20,"23,547","10,854","5,586",63.7,"3,429",74.5,"2,444",,72,"10,782","18,000","18,000","10,782",45.79
5471,大同特殊鋼,"223,015",8.0,0.5,4.30,"578,564",16.90,8.70,10.20,"42,250",7.30,"30,555",5.30,7.20,52.00,39.70,146.1,122.50,0.8,221.10,"820,669","51,410","173,534",109.5,"197,689",150.1,"231,611","146,009","325,934","273,175","467,110","427,136","274,524",33.45
5706,三井金属鉱業,"221,981",3.9,0.7,4.30,"646,697",14.80,11.70,9.90,"31,694",4.90,"25,989",4.00,8.00,47.80,27.90,84.8,65.20,0.6,191.30,"675,771","43,404",,,"196,252",129.9,"194,580","141,188","188,218","144,814","332,088","323,321","144,814",21.43
5741,UACJ,"237,915",,0.8,3.00,"892,781",11.40,10.60,7.90,"31,378",3.50,"13,858",1.60,4.40,30.80,35.90,153.9,135.20,1.2,117.80,"1,018,719","36,553","213,698",87.4,"246,091",113.6,"399,044","232,302","366,162","321,735","343,331","314,126","329,609",32.36
6951,本電子,"236,977",10.1,1.7,2.00,"174,336",45.50,8.80,29.70,"27,531",15.80,"21,704",12.40,15.40,61.00,4.00,3.9,10.00,0.1,220.40,"230,553","32,818",,,"84,311",323.8,"22,351","13,523","9,142","23,676","140,676","140,676","23,676",10.27
6960,フクダ電子,"173,548",10.5,1.0,2.80,"140,323",53.10,17.00,34.20,"26,506",18.90,"18,693",13.30,10.70,83.50,0.90,1.0,37.00,0.0,405.60,"209,429","65,975","30,263",78.7,"15,749",87.3,"54,587","5,457","1,800","64,175","174,856","174,856","64,175",30.64
7451,三菱食品,"232,056",10.2,1.1,3.50,"2,076,381",7.20,2.70,5.80,"29,528",1.40,"22,582",1.10,10.60,24.00,,0.0,0.20,,114.90,"888,315",424,"445,585",78.3,"101,392",19.2,"80,605","31,361",0,424,"213,911","213,113",424,0.05
8242,エイチ･ツー･オーリテイリング,"231,339",7.7,0.8,2.10,"657,400",43.70,7.50,39.80,"26,188",4.00,"21,905",3.30,7.50,39.70,22.20,71.1,44.20,0.6,85.30,"739,987","62,108","91,475",50.8,"22,809",22.5,"315,518","207,419","164,376","102,268","306,266","293,889","102,268",13.82
8273,イズミ,"234,339",12.8,0.8,2.70,"524,142",28.80,7.70,34.80,"25,425",4.90,"11,919",2.30,4.20,50.10,24.50,59.5,52.80,0.5,94.40,"569,611","15,717",,,"30,074",34.7,"344,469","143,442","139,454","123,737","299,218","285,522","123,737",21.72
9744,メイテックGHD,"230,076",19.3,5.1,6.20,"126,976",27.00,11.60,13.10,"17,660",13.90,"12,343",9.70,27.20,53.50,,0.0,20.00,,312.60,"84,898","46,110","18,184",52.3,285,1.1,"4,147","17,449",0,"46,110","45,397","45,397","46,110",54.31
9936,王将フードサービス,"182,244",22.9,2.6,,"101,401",68.60,12.00,58.50,"10,286",10.10,"7,911",7.80,11.10,77.80,6.00,3.0,16.20,0.1,285.20,"91,425","34,969","2,894",10.4,841,9.6,"38,603","6,386","5,500","29,469","71,129","71,129","29,469",32.23
3350,メタプラネット,"154,818",,9.1,0.00,"1,062",93.80,58.70,60.80,350,33.00,"4,439",418.00,26.20,55.90,37.10,7.3,7.10,0.7,23.60,"30,325",294,32,11.0,0,2.6,975,"1,966","11,250","10,955","16,965","16,939","10,956",36.13
4902,コニカミノルタ,"220,688",,0.4,,"1,159,999",43.50,7.20,41.30,"26,091",2.20,"4,521",0.40,0.80,38.70,55.20,346.1,296.90,1.4,167.90,"1,382,798","104,079","300,465",94.5,"246,502",137.3,"275,985","358,986","763,768","655,272","548,972","535,313","659,689",47.71
