code,name,pre_per,roe,pro_margin,equity_ratio,fixed_net_cash_ratio,real_pbr,pre_pbr,pre_error,pbr_ratio
8002,丸紅,8.2,13.9,3.5,39.4,-22.18229479892032,1.2,1.930303374029052,-0.7303033740290517,1.6085861450242098
8801,三井不動産,16.8,7.5,14.3,30.6,-47.66498053781316,1.3,0.6227185696810771,0.677281430318923,0.4790142843700593
9020,東本旅客鉄道,16.2,7.8,13,28.1,-52.35145206160195,1.3,0.5694554702841876,0.7305445297158124,0.4380426694493751
9613,NTTデータG,30.3,7.3,7.1,23.4,-17.50932490950795,2.3,2.206392859313847,0.0936071406861529,0.9593012431799336
2502,アサヒGHD,16.9,7.2,9.2,49.4,-21.006809595060894,1.1,0.8161104542748576,0.2838895457251424,0.7419185947953251
2802,味の素,40,10.7,10.2,43.7,-18.38814068738286,3.7,3.119097783432006,0.5809022165679942,0.8429994009275691
4307,野村総合研究所,30.2,21.6,17.6,46.7,-8.881196681532924,7.2,5.273340644253839,1.926659355746161,0.7324084228130332
4452,花王,24.2,10.1,9,57.1,5.297185092197723,2.6,2.4127002311577046,0.1872997688422955,0.927961627368348
4503,アステラス製薬,20.1,3.4,2.1,45.3,-17.257056652045907,1.7,0.2492621757896809,1.450737824210319,0.1466248092880476
4612,本ペイントHD,16,8,11.5,51.8,-19.23491670514017,1.6,0.9671825875135776,0.6328174124864225,0.604489117195986
5401,本製鉄,10.1,10.5,8.8,47.7,-17.34205487470419,0.6,1.2932694235196538,-0.6932694235196538,2.155449039199423
6273,SMC,19.8,9.2,25.3,91.6,24.704280919359096,1.5,1.944297333745962,-0.4442973337459619,1.296198222497308
6594,ニデック,15,9.8,9.2,51.7,-8.059873206355258,1.7,1.582280486347325,0.1177195136526749,0.9307532272631324
6762,TDK,19.3,9.3,10.2,50.8,1.8525363449355692,1.6,2.005638235366156,-0.4056382353661556,1.2535238971038472
7532,パン･パシフィック･インターナショナルHD,29.5,15.5,6.7,36.6,-18.673118613662503,4.6,3.6930994624850007,0.906900537514999,0.8028477092358698
7832,バンダイナムコHD,25.8,12.3,8.6,73.2,32.378377994877575,4,3.372037593005059,0.627962406994941,0.8430093982512648
8015,豊田通商,9.1,13.8,4.8,37.2,-11.401988420199782,1.2,2.30163566941806,-1.1016356694180598,1.91802972451505
8802,三菱地所,18.6,7,18.5,30.4,-49.51801204465033,1.3,0.6166960796140863,0.6833039203859137,0.4743815997031433
8830,住友不動産,13.5,8.2,26.3,32.5,-54.44864087013623,1.2,0.5099938533991846,0.6900061466008154,0.4249948778326538
9022,東海旅客鉄道,7.5,10,38.4,44.6,-44.78183185779416,0.7,0.7122288480721184,-0.0122288480721184,1.017469782960169
9766,コナミG,40.2,12.5,22.3,73.1,33.38407360777204,5.9,4.424114998416744,1.475885001583256,0.7498499997316516
1605,INPEX,6.6,8.9,56.1,65.3,-19.8850866084359,0.5,0.8420046398916146,-0.3420046398916145,1.6840092797832291
1928,積水ハウス,9.2,11.1,8.2,40.8,-17.5518544150283,1.1,1.5055727791193814,-0.4055727791193813,1.3687025264721648
2503,キリンHD,11.6,4.9,5.4,35.2,-28.55449011212647,1.5,0.0478918491577728,1.452108150842227,0.0319278994385152
4091,本酸素HD,20.4,10.6,13.7,40.3,-34.70128633182987,2,1.657441062041816,0.3425589379581839,0.828720531020908
4507,塩野義製薬,12.2,12,37.4,88.7,17.15162684584115,1.6,2.135837504231477,-0.5358375042314765,1.3348984401446728
4684,オービック,31.8,14.9,64.6,86.7,32.84256807394454,5.1,4.667182248374667,0.4328177516253326,0.9151337741911112
5020,ENEOSHD,17.2,9.1,3.4,31.6,-25.32500686427699,0.6,1.445649911143467,-0.8456499111434671,2.409416518572445
6326,クボタ,9.8,9.3,10.5,41.2,-20.077724877526823,0.8,1.0880208298960037,-0.2880208298960034,1.3600260373700042
7270,SUBARU,5.8,13.9,10,54.8,-2.1027551293355398,0.7,2.076645353694734,-1.376645353694734,2.966636219563906
