,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
165,4188,三菱ケミカルG,1002615,19.3,0.6,4.5,4387218.0,26.1,10.6,21.3,261831.0,6.0,119596.0,2.7,6.6,29.7,60.7,368.6,335.0,2.0,128.9,6091957.0,283485.0,823687.0,68.5,812377.0,91.5,2067680.0,2062967.0,3695632.0,3358671.0,2361387.0,1807934.0,190674,2.8,-1779482.0,-29.210350631168275,-3412147.0,-56.010687534399864,33.94114567781749,33.86378137600118
166,5411,JFEHD,1060672,11.2,0.4,6.0,5174632.0,12.7,9.3,7.9,287003.0,5.5,197421.0,3.8,7.9,44.1,34.3,183.7,167.4,0.8,162.9,5686549.0,149639.0,740326.0,52.2,1275428.0,103.0,1939710.0,1571605.0,1948549.0,1775224.0,2559471.0,2508192.0,149137,0.8,-1421966.0,-25.005781186445418,-1798910.0,-31.634476375742125,34.110494783391474,27.637236573535194
167,5929,三和HD,1033970,20.3,3.6,2.0,611107.0,32.3,11.9,21.6,65360.0,10.7,43228.0,7.1,14.8,58.6,8.7,4.2,5.3,0.1,229.9,496971.0,90814.0,20107.0,12.0,89545.0,78.9,94913.0,61230.0,43310.0,55306.0,293105.0,291196.0,59063,1.1,29584.0,5.952862440665552,47504.0,9.558706644854528,19.098297486171226,12.320638427594368
168,6361,荏原製作所,1029609,14.2,2.2,2.5,866668.0,33.1,11.6,21.1,97953.0,11.3,71401.0,8.2,15.1,47.1,15.0,14.6,2.4,0.3,174.0,1005085.0,171031.0,170282.0,71.7,205960.0,129.7,201991.0,114408.0,150432.0,24397.0,485336.0,473277.0,50048,2.4,56623.0,5.633652875129965,20599.0,2.0494784023241817,20.096907226751966,11.382917862668332
171,7701,島津製作所,1076626,18.6,2.2,1.7,511895.0,43.1,5.9,28.9,72753.0,14.2,57037.0,11.1,11.6,74.7,1.9,1.2,11.2,0.0,310.0,658241.0,133567.0,,,152851.0,191.7,121281.0,23481.0,12471.0,121096.0,491458.0,491452.0,14625,2.4,110086.0,16.72426968238077,121096.0,18.396909338676867,18.425014546343967,3.56723449314157
172,7735,SCREENHD,940600,10.3,2.3,2.9,504916.0,36.1,19.1,17.5,94164.0,18.6,70579.0,14.0,17.0,61.4,0.7,0.5,20.6,0.0,200.7,676863.0,110724.0,6051.0,4.4,176979.0,200.4,105405.0,16433.0,4729.0,193995.0,415935.0,415885.0,55918,5.4,94291.0,13.930588612466629,105995.0,15.659742074836414,15.57257524787143,2.427817741551835
173,7912,大本印刷,917480,8.7,0.8,0.0,1424822.0,22.0,5.1,16.7,75450.0,5.3,110929.0,7.8,9.2,60.9,7.6,16.3,12.3,0.1,203.9,1978891.0,262204.0,,,169410.0,55.7,456782.0,305171.0,149805.0,112399.0,1278005.0,1205645.0,2200,2.5,-42967.0,-2.1712666336852307,112399.0,5.679898488597907,23.08272663830398,15.421314261371647
175,9023,東京地下鉄,1042023,17.9,1.5,2.3,407832.0,34.3,30.3,13.0,86942.0,21.3,53748.0,13.2,7.5,35.3,44.1,85.9,78.8,1.2,186.3,2029745.0,38762.0,,,7781.0,10.6,1543577.0,1143401.0,894691.0,820929.0,716529.0,716529.0,7564,,-1104639.0,-54.42255061596407,-855929.0,-42.169287275002524,76.04782866813319,56.33224863221735
176,9042,阪急阪神HD,984411,14.1,1.0,1.5,997611.0,13.9,12.4,3.3,105689.0,10.6,67801.0,6.8,6.6,32.5,40.4,129.7,123.5,1.2,116.0,3160329.0,60514.0,88896.0,32.5,17410.0,7.4,2032204.0,1560528.0,1276370.0,1215856.0,1118551.0,1025884.0,14757,,-1500014.0,-47.46385582007443,-1215856.0,-38.47245017844661,64.30355826877519,49.37865646266575
177,9143,SGHD,944771,16.9,1.6,0.0,1316940.0,11.7,5.9,4.9,89204.0,6.8,58279.0,4.4,10.1,53.5,19.8,22.6,8.7,0.4,110.9,1077432.0,131294.0,,,28067.0,8.8,458656.0,117784.0,213398.0,82104.0,581349.0,576837.0,35855,,13510.0,1.253907439170175,-82104.0,-7.620341701378834,42.56936864693085,10.931919601422642
178,9684,スクウェア･エニックス･HD,1005841,35.9,3.0,0.8,356344.0,47.0,14.7,37.8,32558.0,9.1,14912.0,4.2,4.5,79.5,0.0,0.0,23.6,,488.8,421569.0,237639.0,44399.0,45.5,7111.0,13.7,27643.0,14151.0,0.0,237639.0,335714.0,335044.0,41791,0.6,223488.0,53.013385709101,237639.0,56.37013157988372,6.557170949476836,3.356745870782719
179,1911,住友林業,865059,7.0,1.0,4.3,2053650.0,24.5,1.3,15.0,194588.0,9.5,116528.0,5.7,13.3,39.7,28.9,73.6,55.0,0.7,233.2,2205795.0,157711.0,95473.0,17.0,893917.0,210.4,286231.0,598060.0,636556.0,475783.0,970912.0,876238.0,42353,0.1,-440349.0,-19.963278545830416,-478845.0,-21.7084996565864,12.976319195573478,27.11312701316305
180,2702,本マクドナルドHD,799082,26.2,3.2,0.9,405477.0,20.0,13.0,8.1,48021.0,11.8,31961.0,7.9,12.6,75.1,0.1,0.0,8.9,0.0,146.8,337094.0,67327.0,25229.0,22.7,1660.0,1.9,149512.0,7981.0,263.0,71064.0,253044.0,253044.0,13496,,59346.0,17.605178377544544,67064.0,19.894747459165693,44.35320711730259,2.3675888624537964
181,2897,清食品HD,929418,16.6,1.9,2.2,732933.0,35.3,12.8,26.9,73361.0,10.0,54170.0,7.4,11.3,55.2,22.9,21.4,10.2,0.4,139.9,868451.0,85935.0,125298.0,62.4,75789.0,58.3,343027.0,122069.0,198595.0,94900.0,517927.0,479007.0,31557,1.5,-36134.0,-4.160741365949259,-112660.0,-12.972522341502286,39.49871668061871,14.055945585876461
182,3635,コーエーテクモHD,786785,29.1,4.2,1.7,83150.0,63.0,41.3,24.4,32119.0,38.6,37628.0,45.3,20.0,89.9,0.0,0.0,5.7,,325.1,209828.0,24034.0,15123.0,66.4,177.0,2.1,36509.0,1492.0,0.0,44488.0,189421.0,188548.0,32765,,22542.0,10.743084812322474,24034.0,11.454143393636693,17.399489105362488,0.7110585813142193
184,5201,AGC,947820,11.8,0.7,4.7,2067603.0,24.1,13.8,18.2,125835.0,6.1,94042.0,4.5,,49.7,18.7,57.0,45.6,0.4,141.3,2889665.0,107988.0,332442.0,58.7,454143.0,105.7,1550862.0,509196.0,539816.0,431828.0,1671697.0,1435788.0,42456,3.0,-401208.0,-13.88423917651354,-431828.0,-14.943877577504658,53.66926616061032,17.62128135960397
185,5334,本特殊陶業,956469,10.6,1.4,3.8,652993.0,39.5,20.4,20.5,129660.0,19.9,92625.0,14.2,13.7,68.1,29.9,31.0,6.6,0.4,383.0,990966.0,208192.0,147551.0,82.5,183932.0,170.0,219974.0,162594.0,296647.0,63192.0,674722.0,674573.0,98143,,45598.0,4.601368765426867,-88455.0,-8.926138737353249,22.197936155226312,16.407626497780953
186,5713,住友金属鉱山,856691,27.6,0.5,3.3,1445388.0,11.5,14.6,4.7,,,58601.0,4.1,3.3,58.9,33.6,118.9,95.0,0.6,203.2,3029895.0,185750.0,178138.0,45.0,533523.0,152.2,723084.0,583077.0,1018691.0,813989.0,1974213.0,1784787.0,82597,0.8,-397327.0,-13.113556740415097,-832941.0,-27.490754630110942,23.864985420286843,19.244132222403746
189,6305,立建機,916114,11.0,1.1,4.1,1371285.0,31.3,10.5,20.7,144989.0,10.6,81428.0,5.9,10.1,45.2,45.9,89.7,70.2,1.0,163.2,1791006.0,147136.0,270259.0,71.9,531183.0,205.7,486031.0,319798.0,821588.0,643128.0,857952.0,809337.0,98858,,-172662.0,-9.64050371690547,-674452.0,-37.65771862294152,27.137318356275745,17.855774910860152
190,6465,ホシザキ,872492,22.8,2.4,1.7,445495.0,37.4,10.6,25.8,51479.0,11.6,37170.0,8.3,10.2,66.9,0.0,0.0,27.4,,303.5,543944.0,239035.0,70253.0,57.6,69164.0,90.5,80498.0,32676.0,0.0,239035.0,382677.0,363923.0,36677,1.3,206359.0,37.93754504140132,239035.0,43.944781080405335,14.798949891900637,6.007236039004015
191,6479,ミネベアミツミ,861000,15.1,1.1,2.1,1402127.0,16.5,7.3,11.6,73536.0,5.2,54035.0,3.9,7.1,48.5,44.3,81.0,57.8,0.9,182.8,1575080.0,189309.0,290726.0,75.7,356564.0,111.2,530033.0,310383.0,697766.0,497306.0,775812.0,764094.0,22123,3.0,-121074.0,-7.686847652182746,-508457.0,-32.281344439647505,33.65117962262234,19.7058562104782
192,6504,富士電機,937863,11.6,1.4,0.0,1123407.0,28.3,12.9,17.8,117646.0,10.5,92239.0,8.2,13.3,52.7,7.7,10.8,4.0,0.1,177.7,1312175.0,63542.0,323966.0,105.3,238649.0,108.1,347074.0,150050.0,101293.0,37751.0,730658.0,691767.0,58166,,-86508.0,-6.592718196886849,-37751.0,-2.8769790614818906,26.45028292720102,11.435212528816658
193,6506,安川電機,798008,17.2,1.9,2.2,537682.0,35.6,10.5,26.4,50156.0,9.3,56987.0,10.6,13.2,58.0,24.3,22.6,14.7,0.4,257.8,743774.0,59028.0,153740.0,104.4,206259.0,217.5,129069.0,124659.0,180701.0,117387.0,439610.0,431189.0,19201,,-65631.0,-8.824051391955082,-121673.0,-16.358867075213706,17.35325515546389,16.760333111939918
195,6841,横河電機,820201,16.1,1.7,1.8,540152.0,47.2,11.8,32.6,78800.0,14.6,61685.0,11.4,13.2,66.2,3.4,2.9,18.2,0.1,266.0,708730.0,173543.0,,,57884.0,74.1,86697.0,46313.0,24129.0,149414.0,479656.0,468889.0,39705,6.0,127230.0,17.951829328517206,149414.0,21.08193529270667,12.232726143947623,6.53464648032396
197,7752,リコー,873096,19.6,0.9,2.5,2348987.0,34.9,5.3,32.8,62023.0,2.6,44176.0,1.9,4.3,42.7,32.3,88.6,54.6,0.8,134.8,2395370.0,185810.0,519540.0,80.7,339081.0,81.0,203845.0,412493.0,773310.0,476304.0,1068432.0,1022881.0,37212,4.7,-226683.0,-9.463381440028055,-587500.0,-24.526482338845355,8.50995879550967,17.22042941174015
198,9404,本テレビHD,813812,22.0,0.8,0.0,423523.0,33.5,10.5,23.6,41877.0,9.9,34660.0,8.2,3.4,77.9,0.8,1.3,20.5,0.0,305.8,1297722.0,137799.0,,,6762.0,8.8,254911.0,150101.0,10755.0,167044.0,1042479.0,1011491.0,35404,0.1,-12302.0,-0.9479688253724604,127044.0,9.789770074022016,19.64295896964065,11.566498834110849
199,1944,きんでん,750080,14.4,1.3,2.6,705058.0,18.8,3.5,10.2,60979.0,8.6,47250.0,6.7,7.9,72.9,1.8,2.0,24.2,0.0,248.8,821693.0,104161.0,,,3471.0,2.2,151746.0,19497.0,14936.0,181220.0,599738.0,599044.0,11062,,84664.0,10.303604874326542,89225.0,10.858678362843543,18.467481163889676,2.3727839959692973
200,2212,山崎製パン,662599,17.9,1.6,1.5,1244488.0,32.6,5.9,28.4,51873.0,4.2,36015.0,2.9,8.8,48.3,11.8,15.1,8.8,0.2,125.9,849037.0,158532.0,119891.0,35.2,34246.0,14.9,359226.0,130164.0,99999.0,58533.0,458544.0,410205.0,28305,0.7,28368.0,3.341197144529626,58533.0,6.894045842525119,42.309816886661004,15.330780637357384
201,2768,双,730101,6.3,0.8,4.8,2509714.0,13.8,0.7,10.8,,,110633.0,4.4,11.4,31.4,67.2,284.3,258.0,2.1,159.8,3087252.0,192299.0,899822.0,130.9,275871.0,46.6,259230.0,1094057.0,2075799.0,1883500.0,1007616.0,968957.0,63592,,-901758.0,-29.20908302917935,-1883500.0,-61.00894905890416,8.396787822957116,35.43789104355589
202,3099,三越伊勢丹HD,680445,11.7,1.1,2.6,536441.0,59.5,10.6,49.3,54369.0,10.1,55580.0,10.4,9.3,48.5,7.8,14.2,8.8,0.2,69.6,1236300.0,35234.0,,,26985.0,45.3,704119.0,221927.0,96400.0,59823.0,601030.0,599671.0,29420,,-186693.0,-15.100946372239749,-61166.0,-4.9475046509746825,56.95373291272345,17.950901884655828
203,3231,野村不動産HD,735622,9.8,1.0,4.2,757638.0,35.2,17.7,19.5,118958.0,15.7,74835.0,9.9,10.0,27.9,57.5,210.1,205.0,2.1,247.2,2686569.0,37265.0,,,898147.0,667.6,890250.0,1334506.0,1545304.0,1508039.0,751439.0,750049.0,301136,,-1297241.0,-48.28615978223526,-1508039.0,-56.132524420552755,33.137060689675195,49.67324494550484
205,3289,東急不動産HD,723537,9.9,0.9,3.4,1103047.0,19.6,14.2,8.7,120238.0,10.9,68545.0,6.2,9.0,25.1,54.2,227.0,206.8,2.2,218.6,3032889.0,116396.0,,,987356.0,406.3,1125520.0,1655437.0,1642364.0,1496587.0,782630.0,762326.0,88850,,-1539041.0,-50.74504869779276,-1525968.0,-50.31400753538953,37.110491020278026,54.5828416404293
206,3349,コスモス薬品,731782,29.9,2.9,0.7,964989.0,19.5,5.7,16.2,31501.0,3.3,24454.0,2.5,9.8,52.5,6.0,3.9,0.8,0.1,64.8,474101.0,22765.0,672.0,0.3,88059.0,41.4,320043.0,29614.0,28529.0,5764.0,248822.0,248822.0,635,,-6849.0,-1.4446288870936785,-5764.0,-1.2157746977964612,67.50523622603623,6.246348351933449
208,4528,小野薬品工業,783002,15.7,1.0,0.0,502672.0,74.7,22.0,19.9,159935.0,31.8,127977.0,25.5,15.7,75.4,14.3,19.7,2.1,0.2,354.5,1082304.0,160982.0,152211.0,110.5,77621.0,222.9,106733.0,138971.0,154286.0,16554.0,821495.0,815918.0,89831,22.4,22011.0,2.033716959375554,6696.0,0.6186801490154338,9.861647004908047,12.840292561054934
209,4732,ユー･エス･エス,689687,18.8,3.5,2.9,97606.0,60.5,48.3,10.3,48937.0,50.1,32906.0,33.7,16.6,83.9,1.0,0.3,12.7,0.0,445.8,236594.0,87278.0,,,1461.0,13.8,98540.0,9139.0,2413.0,87865.0,201913.0,198477.0,44485,,78139.0,33.026619440898756,84865.0,35.869464145329125,41.64940784635283,3.862735318731667
211,6724,セイコーエプソン,615060,15.0,0.8,3.9,1362944.0,36.2,10.1,29.6,75108.0,5.5,55177.0,4.0,6.9,55.3,9.9,23.5,20.3,0.2,198.3,1456461.0,267000.0,210091.0,56.3,369781.0,155.2,379712.0,207451.0,144494.0,124957.0,804891.0,804752.0,67809,,59549.0,4.088609307080657,122506.0,8.411210461522828,26.070866298514,14.243498452756373
212,6845,アズビル,661361,17.4,2.8,0.0,290938.0,42.3,9.5,29.6,36841.0,12.7,30207.0,10.4,12.9,78.1,1.9,0.9,11.5,0.0,412.2,299561.0,75768.0,,,42367.0,92.1,41212.0,9144.0,5739.0,75929.0,237290.0,234020.0,19852,4.2,66624.0,22.240545331334854,70029.0,23.377208648655866,13.757465090582551,3.0524667763827735
213,8227,しまむら,685495,16.0,1.4,2.2,665358.0,34.7,7.9,26.0,59240.0,8.9,41885.0,6.3,8.4,88.3,0.0,0.0,43.3,,666.2,567144.0,161200.0,13726.0,7.5,56829.0,47.7,142614.0,10562.0,0.0,296995.0,500976.0,500976.0,41361,,150638.0,26.56080290014529,161200.0,28.42311652772488,25.145994668020823,1.862313627579592
214,8439,東京センチュリー,724754,9.1,0.8,3.9,1346113.0,18.8,13.1,11.1,104225.0,7.7,72136.0,5.4,7.9,13.8,73.8,668.0,639.3,5.3,154.7,6563388.0,207921.0,,,31427.0,10.5,2941796.0,3588974.0,4841708.0,4633687.0,1054127.0,908113.0,176742,,-3381053.0,-51.51383706098132,-4633787.0,-70.6005343581699,44.82130265649387,54.68172840002755
215,9009,京成電鉄,728259,11.0,1.4,1.1,296509.0,25.2,20.3,16.7,25241.0,8.5,87657.0,29.6,17.3,47.6,31.2,45.8,37.3,0.7,65.1,1067210.0,61652.0,,,7545.0,12.4,675292.0,346108.0,333454.0,271802.0,523189.0,507918.0,5510,,-284456.0,-26.654173030612533,-271802.0,-25.468464500894854,63.276393587016614,32.43110540568398
216,9064,ヤマトHD,677649,28.2,1.2,2.2,1762696.0,4.0,2.7,3.2,14206.0,0.8,37937.0,2.2,6.4,46.5,13.7,25.6,5.1,0.3,147.0,1267428.0,208654.0,,,3397.0,0.7,474354.0,312437.0,173794.0,34860.0,600350.0,589259.0,7260,,-103783.0,-8.188473033576662,34860.0,2.750452096687149,37.42650470085875,24.65126224132653
217,9401,TBSHD,737323,17.1,0.7,1.5,394309.0,30.5,6.7,26.7,15175.0,3.8,38126.0,9.7,3.7,72.8,1.0,1.8,6.3,0.0,197.1,1429011.0,60091.0,,,9647.0,12.9,273459.0,278826.0,13631.0,46490.0,1053976.0,1040434.0,15225,,-218735.0,-15.306740116066287,46460.0,3.2511996058812707,19.136241778404788,19.511816214150908
218,2670,エービーシー･マート,667326,14.7,1.8,2.6,372202.0,50.5,14.9,33.7,62550.0,16.8,45358.0,12.2,12.3,87.7,0.5,0.3,30.4,0.0,670.8,418725.0,195721.0,15744.0,15.4,91543.0,181.2,47855.0,1643.0,2020.0,203149.0,369747.0,367327.0,44544,,194078.0,46.34975222401337,193701.0,46.25971699802973,11.428742014448625,0.3923816347244612
219,3197,すかいらーくHD,661234,44.7,3.8,0.7,401130.0,67.4,16.9,61.3,24184.0,6.0,13965.0,3.5,8.1,36.8,22.6,16.1,13.2,0.6,41.8,470866.0,19170.0,20808.0,18.9,7772.0,21.7,210718.0,179965.0,106331.0,87068.0,173372.0,173372.0,50876,,-160795.0,-34.14878118190738,-87161.0,-18.510786508263497,44.75116062743965,38.22000314314476
220,3563,FOOD&LIFE COMPANIES,605912,40.4,7.4,0.5,361129.0,56.9,15.6,49.8,23384.0,6.5,14633.0,4.1,18.0,22.0,79.2,48.4,40.9,3.6,91.4,369946.0,42959.0,15509.0,15.7,8302.0,19.4,191553.0,207216.0,293176.0,248038.0,83140.0,81360.0,35600,,-164257.0,-44.40026382228758,-250217.0,-67.63608742897613,51.778637963378436,56.012499121493406
221,3769,GMOペイメントゲートウェイ,684227,37.0,6.7,1.4,73785.0,65.2,67.0,31.5,25187.0,34.1,18705.0,25.4,18.3,26.5,8.9,5.0,22.7,0.3,134.7,385793.0,188934.0,19809.0,98.0,2926.0,41.6,3736.0,34465.0,34320.0,155411.0,104777.0,102062.0,45025,,154469.0,40.03934752574567,154614.0,40.07693244823001,0.9683949682861017,8.933547264984073
222,3861,王子HD,634865,11.1,0.6,3.6,1696268.0,19.1,12.0,14.8,72600.0,4.3,50812.0,3.0,4.7,41.5,33.6,137.9,133.5,0.8,101.5,2602913.0,19377.0,,,311423.0,82.8,1354795.0,695411.0,875758.0,847766.0,1109237.0,1079357.0,87878,0.6,-676034.0,-25.972208829108002,-856381.0,-32.90086914161173,52.049184894001456,26.716644006157715
223,4042,東ソー,645778,10.6,0.8,4.9,1005640.0,22.5,11.6,14.6,79845.0,7.9,57324.0,5.7,7.1,61.3,15.4,31.7,11.0,0.3,208.8,1325427.0,133896.0,,,245926.0,115.2,409609.0,81290.0,204612.0,70716.0,880581.0,812148.0,58261,2.2,52606.0,3.9689850893334753,-70716.0,-5.335337215855721,30.90392756447545,6.133117855604269
225,4784,GMOインターネット,43326,8.7,8.4,0.7,12997.0,46.0,0.1,44.9,139.0,1.1,5.0,0.0,,50.0,0.0,0.0,9.3,,181.6,10356.0,4024.0,3521.0,98.9,,,270.0,340.0,0.0,4025.0,5246.0,5176.0,35,,3684.0,35.573580533024334,4024.0,38.85670142912321,2.607184241019699,3.28312089609888
226,4816,東映アニメーション,679950,34.9,4.7,0.9,88654.0,42.2,18.4,15.9,23364.0,26.4,18795.0,21.2,13.0,81.4,0.0,0.0,11.6,,405.3,177443.0,78462.0,25598.0,105.4,10481.0,74.7,8279.0,3098.0,0.0,78573.0,144505.0,144505.0,15662,,75364.0,42.47223051909627,78462.0,44.21814329108503,4.66572364083114,1.7459127719887513
227,5332,TOTO,650493,21.0,1.2,2.6,724454.0,35.1,9.9,28.4,48479.0,6.7,12168.0,1.7,2.3,64.1,8.3,10.4,8.4,0.1,162.3,813924.0,122750.0,,,134629.0,104.5,261418.0,52737.0,67873.0,54877.0,530404.0,522058.0,20683,,70013.0,8.601908777723718,54877.0,6.7422756915879125,32.11823216909686,6.479351880519557
228,5406,神戸製鋼所,654251,5.0,0.6,6.0,2543142.0,17.1,8.1,9.8,186628.0,7.3,109552.0,4.3,9.9,38.8,32.0,140.4,109.3,0.8,158.7,2868008.0,203375.0,,,754597.0,130.7,1045850.0,789212.0,918798.0,715423.0,1188863.0,1111872.0,110419,1.6,-585837.0,-20.426616662157148,-715423.0,-24.944944365566624,36.46607680313305,27.517775403694827
230,6448,ブラザー工業,646038,11.3,0.9,4.0,822930.0,43.2,17.1,34.0,49792.0,6.1,31645.0,3.8,4.5,74.8,0.1,0.2,28.1,0.0,327.0,946919.0,174469.0,136965.0,60.7,234436.0,183.0,149860.0,59194.0,1200.0,181243.0,708492.0,708415.0,93543,5.8,115275.0,12.173691730760499,173269.0,18.298186011686322,15.826063264122908,6.251221065370956
231,6460,セガサミーHD,628014,16.7,1.6,1.7,467896.0,42.0,14.1,29.9,56836.0,12.1,33055.0,7.1,8.6,59.3,23.7,24.4,7.8,0.4,370.6,645673.0,168024.0,,,93502.0,125.9,49423.0,158150.0,153250.0,49098.0,383084.0,382574.0,54718,13.1,9874.0,1.5292570697551238,14774.0,2.2881551497429813,7.654493838212222,24.49382272450606
235,9147,NIPPON EXPRESSHD,665215,12.1,0.8,3.9,2577643.0,8.6,8.8,6.1,49078.0,1.9,31733.0,1.2,3.7,37.2,34.6,119.6,66.7,0.9,123.4,2297146.0,251339.0,520340.0,73.7,12650.0,2.0,538682.0,666243.0,795927.0,443918.0,873048.0,853949.0,154870,,-414904.0,-18.061716582228556,-544588.0,-23.70715661956184,23.45005498126806,29.00307599081643
238,1808,長谷工コーポレーション,553324,18.4,1.1,4.2,1094421.0,14.7,10.5,6.8,85747.0,7.8,56038.0,5.1,11.1,40.3,32.3,73.2,40.4,0.8,289.4,1254347.0,179059.0,,,244508.0,95.6,144062.0,420101.0,405000.0,223649.0,505390.0,505390.0,90865,0.3,-241042.0,-19.21653258627796,-225941.0,-18.012639245758947,11.485019695506905,33.491609578529705
239,1942,関電工,579976,12.6,1.6,3.2,671888.0,13.8,2.7,5.1,58326.0,8.7,42380.0,6.3,11.5,61.0,4.5,4.7,5.8,0.1,193.7,603220.0,60991.0,,,,,132777.0,23382.0,27108.0,33883.0,380949.0,367862.0,3375,,37609.0,6.234707072046683,33883.0,5.617021982029773,22.011372301979375,3.876197738801764
240,2181,パーソルHD,567993,15.6,3.0,3.5,1327123.0,22.7,5.9,18.6,52065.0,3.9,29971.0,2.3,16.1,35.7,17.8,16.4,1.0,0.5,119.3,523458.0,97694.0,169775.0,46.7,,,10714.0,61039.0,93050.0,5648.0,203822.0,186671.0,62267,,36655.0,7.0024720225882495,4644.0,0.8871771947319554,2.046773571136557,11.660725406813919
241,2327,鉄ソリューションズ,623759,21.4,2.4,2.3,338301.0,24.2,11.0,12.1,38497.0,11.4,27049.0,8.0,10.4,62.0,6.9,4.7,26.7,0.1,272.6,421302.0,192931.0,70210.0,75.8,32083.0,45.6,15568.0,32312.0,29219.0,166508.0,269815.0,261174.0,33694,,160619.0,38.12443330437548,163712.0,38.858586002440056,3.6952115109826202,7.66955770444954
242,2331,綜合警備保障,553013,20.0,1.6,2.2,521400.0,24.1,10.8,16.6,39082.0,7.5,27327.0,5.2,8.0,57.2,8.2,8.8,3.9,0.1,199.0,597222.0,70363.0,,,14992.0,13.8,121824.0,78993.0,48931.0,21783.0,378375.0,341471.0,40569,0.1,-8630.0,-1.4450237934972254,21432.0,3.5886152887870844,20.39844479942132,13.226739805298532
245,4183,三井化学,594062,10.6,0.7,4.7,1749743.0,21.2,9.2,16.2,74124.0,4.2,49999.0,2.9,5.8,40.1,53.2,194.1,156.0,1.3,173.1,2165721.0,186187.0,346781.0,72.3,460242.0,121.8,625004.0,552019.0,1153050.0,926527.0,990600.0,867581.0,7348,2.6,-365832.0,-16.891926522391387,-966863.0,-44.64393151287724,28.858934276391096,25.488924935391033
246,4751,サイバーエージェント,621895,29.6,4.0,1.4,802996.0,27.5,6.6,22.3,41843.0,5.2,16246.0,2.0,10.4,29.8,17.8,15.0,18.0,0.6,214.3,524972.0,205583.0,,,10675.0,6.7,29240.0,99787.0,93557.0,112026.0,252002.0,156591.0,38994,0.7,105796.0,20.15269385795814,112026.0,21.339423816889283,5.569820866636697,19.008061382321344
247,6525,KOKUSAI ELECTRIC,654773,19.7,3.5,1.3,180838.0,41.5,1.6,24.6,30745.0,17.0,22374.0,12.4,11.9,51.3,24.5,13.7,4.4,0.5,238.6,366400.0,60722.0,42369.0,85.5,91019.0,313.8,47341.0,96326.0,89825.0,29103.0,187901.0,187901.0,9033,,-35604.0,-9.717248908296943,-29103.0,-7.942958515283843,12.920578602620086,26.289847161572048
248,6806,ヒロセ電機,557101,17.4,1.5,3.0,165509.0,43.8,24.8,22.5,34017.0,20.6,26480.0,16.0,7.0,89.0,1.4,1.0,28.6,0.0,898.3,422293.0,80910.0,46739.0,103.1,24606.0,96.6,88291.0,19137.0,5798.0,159288.0,375891.0,375891.0,8985,4.8,61773.0,14.627995254479709,75112.0,17.786702597485633,20.907521554939343,4.531687714454182
249,7649,スギHD,545069,16.0,2.2,1.2,878021.0,31.3,4.2,26.5,42563.0,4.8,25689.0,2.9,10.2,50.6,9.2,8.3,1.4,0.2,114.1,495116.0,52788.0,71764.0,29.8,94008.0,56.9,119540.0,28332.0,45352.0,7436.0,250704.0,250704.0,10905,,24456.0,4.939448533273011,7436.0,1.5018702687854968,24.143836999814187,5.722295381284386
250,7747,朝インテック,603144,32.1,3.8,1.1,107547.0,64.2,32.3,43.6,22135.0,20.6,15808.0,14.7,10.0,83.2,1.9,0.6,6.3,0.0,469.6,190130.0,37564.0,16561.0,56.2,27013.0,256.1,60501.0,11405.0,3572.0,37991.0,158923.0,158154.0,24164,10.8,26159.0,13.758481039288908,33992.0,17.878293798979644,31.820859411981278,5.998527323410298
251,8252,丸井G,521533,19.7,2.1,3.7,235227.0,87.4,16.2,70.0,41025.0,17.4,24667.0,10.5,10.0,21.2,63.3,140.9,127.9,3.0,214.8,1160326.0,67601.0,5470.0,8.5,515.0,6.3,168371.0,515656.0,734638.0,667037.0,246141.0,245752.0,23214,,-448055.0,-38.614579006244796,-667037.0,-57.487033816358505,14.510663382532151,44.44061410327787
252,8253,クレディセゾン,514598,9.4,0.7,3.3,420317.0,86.0,50.8,57.8,,,72987.0,17.4,10.2,15.2,72.9,668.3,643.3,4.8,,4720440.0,128918.0,,,,,29940.0,0.0,3439102.0,3310184.0,729396.0,715571.0,232677,,128918.0,2.7310589690791534,-3310184.0,-70.12447992136326,0.6342629076950453,0.0
253,8572,アコム,624608,19.5,0.9,0.0,294730.0,,12.5,,86347.0,29.3,53091.0,18.0,8.0,45.1,48.0,112.7,100.2,1.1,484.8,1466547.0,78053.0,,,,,7988.0,464700.0,704200.0,626147.0,713550.0,661857.0,41394,,-386647.0,-26.36444655370745,-626147.0,-42.69532445942749,0.5446808046383785,31.68667625381253
