,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
36,8031,三井物産,7996228,10.4,1.1,4.1,14662620.0,8.8,6.9,6.1,,,900342.0,6.1,11.9,44.9,24.1,50.6,26.7,0.5,155.6,16811509.0,977356.0,2224953.0,55.4,960459.0,,2469558.0,5394692.0,4047663.0,2131198.0,7762632.0,7546615.0,671371,,-4417336.0,-26.275666271243107,-3070307.0,-18.263125576651092,14.68968669023108,32.08927883868128
40,1925,大和ハウス工業,3250517,12.2,1.3,2.8,5202919.0,19.1,5.8,10.6,440210.0,8.5,298752.0,5.7,11.9,36.2,36.3,77.7,64.6,1.0,212.1,6955702.0,426404.0,,,2381061.0,206.4,2142692.0,2527918.0,2526201.0,2098797.0,2610450.0,2514595.0,53754,0.2,-2101514.0,-30.212823953642637,-2099797.0,-30.188139169849425,30.80482746385627,36.343103830497625
41,4543,テルモ,4175497,33.5,3.0,0.9,921863.0,52.0,15.9,37.4,140096.0,15.2,106374.0,11.5,7.6,74.8,18.6,8.4,3.3,0.2,278.9,1877627.0,212556.0,186043.0,73.7,309007.0,254.8,430529.0,210213.0,349642.0,136650.0,1403566.0,1403566.0,67556,7.5,2343.0,0.12478516766109563,-137086.0,-7.301024111817736,22.929421019190713,11.195674114187748
42,4578,大塚HD,4076147,14.8,1.5,1.6,2329861.0,71.7,15.2,41.1,323564.0,13.9,343120.0,14.7,13.0,71.7,8.4,7.6,3.0,0.1,187.9,3693051.0,407496.0,481223.0,75.4,308098.0,170.3,614902.0,300541.0,309570.0,124264.0,2690785.0,2648194.0,225276,13.5,106955.0,2.8961148925373625,97926.0,2.6516286939985396,16.650243931101954,8.138013799430336
44,4901,富士フイルムHD,3678272,14.7,1.1,2.0,2960916.0,,,,276725.0,,243509.0,8.2,7.2,64.3,0.0,0.0,0.0,,,5278927.0,216247.0,,,,,1739347.0,727814.0,0.0,,3396803.0,3396803.0,0,5.3,-511567.0,-9.690738288292298,216247.0,4.096419594360748,32.948873890470544,13.787157882653048
45,5108,ブリヂストン,4124025,16.3,1.1,3.8,4430096.0,39.0,12.4,28.3,443319.0,10.0,284989.0,6.4,7.6,65.2,12.7,17.6,0.2,0.2,243.5,5723517.0,706732.0,1037345.0,85.5,945285.0,127.6,1840317.0,760785.0,727721.0,9562.0,3786488.0,3731606.0,211551,2.8,-54053.0,-0.9444018424335945,-20989.0,-0.3667150809545949,32.153604156325564,13.292264179524583
48,6752,パナソニックHD,3938457,12.7,0.8,2.4,8496420.0,29.4,10.2,24.8,360962.0,4.2,443994.0,5.2,9.0,50.6,14.7,36.1,4.0,0.3,137.5,9698499.0,1064562.0,1305079.0,56.1,1132525.0,68.9,1890277.0,1698428.0,1420928.0,157749.0,5107375.0,4908562.0,219699,5.8,-633866.0,-6.535712381885073,-356366.0,-3.6744448805944097,19.49040774247644,17.512276899755314
50,6981,村田製作所,3707960,20.9,1.4,3.0,1743352.0,41.2,25.9,15.9,279702.0,16.0,233818.0,13.4,9.1,85.2,2.0,1.7,16.6,0.0,541.7,3028194.0,625148.0,294419.0,61.6,482833.0,171.8,1183727.0,171702.0,61649.0,614184.0,2579975.0,2580805.0,259063,,453446.0,14.974139701749623,563499.0,18.608418086820063,39.090196995304794,5.6701122847479395
51,7269,スズキ,3436039,9.3,1.2,2.2,5374255.0,26.3,8.3,17.7,465563.0,8.7,267717.0,5.0,9.0,49.3,20.6,36.1,4.0,0.4,158.3,6027686.0,788487.0,508593.0,34.5,631917.0,58.2,1673151.0,783602.0,1240075.0,136773.0,3700588.0,2973597.0,140355,4.4,4885.0,0.08104270859497327,-451588.0,-7.4918965586462205,27.75776641318078,13.000046784122466
52,8002,丸紅,4206463,8.2,1.2,3.9,7790168.0,14.7,7.7,11.1,272310.0,3.5,502965.0,6.5,13.9,39.4,49.5,108.3,88.5,1.3,142.5,9201974.0,569144.0,,,1180366.0,64.8,1125412.0,2610353.0,4553769.0,3723260.0,3768633.0,3629236.0,420391,,-2041209.0,-22.182294798920317,-3984625.0,-43.30185023343904,12.230114973156848,28.367315534688537
53,8053,住友商事,4238653,7.4,0.9,4.0,7292084.0,19.8,8.4,14.3,,,561859.0,7.7,12.1,40.0,55.5,152.4,138.7,1.4,155.6,11631161.0,570617.0,2028193.0,101.5,1653842.0,103.2,1232605.0,3483963.0,6458328.0,5880049.0,4885558.0,4648462.0,509482,,-2913346.0,-25.047766082852778,-5887711.0,-50.620148753851836,10.597437349547478,29.95369937704413
57,8801,三井不動産,4038686,16.8,1.3,2.1,2383289.0,24.9,10.1,10.6,339690.0,14.3,224647.0,9.4,7.5,30.6,45.6,110.9,105.0,1.5,190.4,9820325.0,239637.0,,,2070654.0,422.2,4416102.0,4920493.0,4478637.0,4238945.0,3130181.0,3007773.0,20865,0.0,-4680856.0,-47.66498053781316,-4239000.0,-43.16557751398248,44.96900051678534,50.105195092830435
